FONTE MARCA;Nº DE SERIE;ENVIO DO CHAMADO;DATA DE ABERTURA;LOCAL DA RETIRADA;STATUS
LITEON 180W 12 PINOS;00257120;;08/08/2026;;ABRIR CHAMADO
COMTAC 200W;200K130600910;;08/08/2026;;ABRIR CHAMADO
COMTAC 200W;200K13100417;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;N0091210x5867;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;AN009003130101257;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;AN0X900X0101180;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;AN00930031301043;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;N009121002906;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;AN009003130101206;;08/08/2026;;ABRIR CHAMADO
COMTAC 250W;N00912x002345;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08134602;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08142224;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08987964;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08134088;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;05930380;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08135099;;08/08/2026;;ABRIR CHAMADO
ALLIED 250W;08210744;;08/08/2026;;ABRIR CHAMADO
ALLIED 180W;12243101;;08/08/2026;;ABRIR CHAMADO
ALLIED 180W;12242146;;08/08/2026;;ABRIR CHAMADO
ALLIED 180W;13027042;;08/08/2026;;ABRIR CHAMADO
ALLIED 180W;;;08/08/2026;;ABRIR CHAMADO
ALLIED 300W;08544964;;08/08/2026;;ABRIR CHAMADO
ALLIED 300W;;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;718211;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;752550;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;752746;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;753178;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;753803;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;753664;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;7522544;;08/08/2026;;ABRIR CHAMADO
KRONNUS 200W;360173;;08/08/2026;;ABRIR CHAMADO
GOLDENTEC 450W;1604450WP11598;;08/08/2026;;ABRIR CHAMADO
GOLDENTEC 450W;1408KS2006P08985;;08/08/2026;;ABRIR CHAMADO
GOLDENTEC 350W;1504G350P0050;;08/08/2026;;ABRIR CHAMADO
GOLDENTEC 200W;EZX064760822083203;;08/08/2026;;ABRIR CHAMADO
GOLDENTEC 200W;EZX054760822070564;;08/08/2026;;ABRIR CHAMADO
CLONE 500W;27100041610;;08/08/2026;;ABRIR CHAMADO
ACBEL 180W;8SSP50A33577A1DB35PA12E;;08/08/2026;;ABRIR CHAMADO
HUNTKEY 180W;8SSP50A33579H1SZ34R0147;;08/08/2026;;ABRIR CHAMADO
WISE 200W;34101300045410;;08/08/2026;;ABRIR CHAMADO
WISE 200W;34101300075413;;08/08/2026;;ABRIR CHAMADO
LOGIN 250W;S/N;;08/08/2026;;ABRIR CHAMADO
LOGIN 250W;S/N;;08/08/2026;;ABRIR CHAMADO
MULTILASER 450W;4545541;;08/08/2026;;ABRIR CHAMADO
MULTILASER 400W;AM020003150101696;;08/08/2026;;ABRIR CHAMADO
